DIA_TRANSPORTE,"NOMBRE_EMPRESA","LINEA","AMBA","TIPO_TRANSPORTE","JURISDICCION","PROVINCIA","MUNICIPIO",CANTIDAD,"DATO_PRELIMINAR"
2026-01-01,"EMPRESA NUEVE DE JULIO S.A.T.","BSAS_LINEA_215","SI","COLECTIVO","PROVINCIAL","BUENOS AIRES","SN",1138,"NO"
2026-01-01,"ALMAFUERTE EMPRESA DE TRANSPORTE S.A.C.I. E I","BSAS_LINEA_218","SI","COLECTIVO","PROVINCIAL","BUENOS AIRES","SN",2660,"NO"
2026-01-01,"MICRO OMNIBUS QUILMES S.A.C.I. Y F.","BSAS_LINEA_219","SI","COLECTIVO","PROVINCIAL","BUENOS AIRES","SN",1157,"NO"
2026-01-01,"EXPRESO ESTEBAN ECHEVERRIA S.R.L.","BSAS_LINEA_222","SI","COLECTIVO","PROVINCIAL","BUENOS AIRES","SN",1072,"NO"
2026-01-01,"EMPRESA NUEVE DE JULIO S.A.T.","BSAS_LINEA_225","SI","COLECTIVO","PROVINCIAL","BUENOS AIRES","SN",293,"NO"
2026-01-01,"LA NUEVA METROPOL S.A.","BSAS_LINEA_228A","SI","COLECTIVO","PROVINCIAL","BUENOS AIRES","SN",41,"NO"
2026-01-01,"MICRO OMNIBUS TIGRE S.A.","BSAS_LINEA_228C","SI","COLECTIVO","PROVINCIAL","BUENOS AIRES","SN",378,"NO"
2026-01-01,"MICRO OMNIBUS TIGRE S.A.","BSAS_LINEA_228E","SI","COLECTIVO","PROVINCIAL","BUENOS AIRES","SN",154,"NO"
2026-01-01,"LA CENTRAL DE ESCOBAR SA","BSAS_LINEA_228F","SI","COLECTIVO","PROVINCIAL","BUENOS AIRES","SN",1540,"NO"
2026-01-01,"EMPRESA LINEA 216 S.A.T.","BSAS_LINEA_236","SI","COLECTIVO","PROVINCIAL","BUENOS AIRES","SN",10757,"NO"
2026-01-01,"COMPAÑIA ISLEÑA S.R.L.","BSAS_LINEA_237A","SI","COLECTIVO","PROVINCIAL","BUENOS AIRES","SN",1962,"NO"
2026-01-01,"TRANSPORTES UNIDOS DE MERLO S.A.C.I.I.","BSAS_LINEA_238","SI","COLECTIVO","PROVINCIAL","BUENOS AIRES","SN",1976,"NO"
2026-01-01,"COMPAÑÍA DE OMNIBUS 25 DE MAYO LINEA 278","BSAS_LINEA_239A","SI","COLECTIVO","PROVINCIAL","BUENOS AIRES","SN",2978,"NO"
